class_id	p_value	class_label	rank	p_value_adjusted	false_discovery_rate	fold_enrichment	probability	sample_count	sample_total	background_count	background_total	ancestor_of_more_informative_result	descendant_of_more_informative_result
FYPO:0005362	7.508833967549385e-07	abnormal mitotic metaphase chromosome recapture	206	0.0007043286261561323	None	None	None	3	30	4	5057	None	True
FYPO:0005681	7.508833967549385e-07	decreased microtubule polymerization	207	0.0007043286261561323	None	None	None	3	30	4	5057	None	True
FYPO:0006180	7.508833967549385e-07	increased microtubule polymerization	208	0.0007043286261561323	None	None	None	3	30	4	5057	None	True
FYPO:0007956	7.508833967549385e-07	abnormal duration of microtubule growth event	209	0.0007043286261561323	None	None	None	3	30	4	5057	None	True
FYPO:0007103	7.508833967549385e-07	spindle collapse during meiosis I	210	0.0007043286261561323	None	None	None	3	30	4	5057	None	True
FYPO:0007083	7.508833967549385e-07	meiotic spindle collapse	211	0.0007043286261561323	None	None	None	3	30	4	5057	True	True
FYPO:0007114	7.508833967549385e-07	normal microtubule bundle	212	0.0007043286261561323	None	None	None	3	30	4	5057	None	True
FYPO:0001836	7.552033371738094e-07	normal protein localization to spindle pole body	213	0.0007083807302690332	None	None	None	6	30	57	5057	None	True
FYPO:0001127	7.594679204359198e-07	abnormal cell size	214	0.0007123809093688928	None	None	None	19	30	1080	5057	True	True
FYPO:0000233	7.90570008968202e-07	long cytoplasmic microtubules	215	0.0007415546684121734	None	None	None	5	30	31	5057	True	True
FYPO:0003603	8.370767276530251e-07	abnormal meiosis I	216	0.0007851779705385375	None	None	None	8	30	137	5057	True	True
FYPO:0002574	8.388965263828932e-07	normal protein localization to centromere during vegetative growth	217	0.0007868849417471538	None	None	None	6	30	58	5057	True	True
FYPO:0002197	8.873015053554447e-07	viable vegetative cell with abnormal cell shape	218	0.0008322888120234071	None	None	None	16	30	750	5057	True	True
FYPO:0000707	9.038960308352185e-07	abnormal molecular function	219	0.0008478544769234349	None	None	None	16	30	751	5057	True	True
FYPO:0001978	9.671755621306528e-07	bent mitotic spindle	220	0.0009072106772785523	None	None	None	4	30	14	5057	None	True
FYPO:0002256	1.101490465421319e-06	abnormal nuclear morphology	221	0.0010331980565651973	None	None	None	8	30	142	5057	True	True
FYPO:0004094	1.1367574851993887e-06	abnormal protein localization during meiotic cell cycle	222	0.0010662785211170266	None	None	None	6	30	61	5057	True	True
FYPO:0002403	1.3616604681069148e-06	abnormal nucleus	223	0.001277237519084286	None	None	None	8	30	146	5057	True	True
FYPO:0000229	1.5103384273854209e-06	cut	224	0.0014166974448875248	None	None	None	8	30	148	5057	None	True
FYPO:0000151	1.589091934551351e-06	abnormal meiotic chromosome segregation	225	0.0014905682346091672	None	None	None	13	30	494	5057	True	True
FYPO:0003250	1.5897386063747912e-06	premature septum assembly	226	0.0014911748127795542	None	None	None	8	30	149	5057	True	True
FYPO:0003190	1.8696878572599315e-06	decreased rate of cytoplasmic microtubule depolymerization during vegetative growth	227	0.0017537672101098157	None	None	None	3	30	5	5057	None	True
FYPO:0003194	1.8696878572599315e-06	increased rate of microtubule depolymerization during vegetative growth	228	0.0017537672101098157	None	None	None	3	30	5	5057	None	True
FYPO:0007745	1.8696878572599315e-06	abnormal spindle assembly during meiosis I	229	0.0017537672101098157	None	None	None	3	30	5	5057	None	True
FYPO:0000051	2.0147601521763853e-06	abnormal meiosis	230	0.0018898450227414494	None	None	None	14	30	595	5057	True	True
FYPO:0004318	2.2712999603249354e-06	abolished mitotic spindle assembly checkpoint	231	0.0021304793627847894	None	None	None	4	30	17	5057	None	True
FYPO:0000117	2.7220145831390583e-06	abnormal septum assembly	232	0.0025532496789844364	None	None	None	9	30	217	5057	True	True
FYPO:0000449	2.8948131939541315e-06	abnormal protein localization to centromere during vegetative growth	233	0.0027153347759289754	None	None	None	7	30	112	5057	True	True
FYPO:0002112	3.057519525840511e-06	viable curved vegetative cell	234	0.0028679533152383995	None	None	None	6	30	72	5057	None	True
FYPO:0002769	3.317683368276203e-06	abnormal protein localization to spindle pole body	235	0.0031119869994430784	None	None	None	6	30	73	5057	None	True
FYPO:0002273	3.6606540157689514e-06	inviable vegetative cell with abnormal cell morphology	236	0.0034336934667912765	None	None	None	14	30	625	5057	None	True
FYPO:0005441	3.7243963601817244e-06	abolished protein localization to microtubule during mitotic interphase	237	0.0034934837858504575	None	None	None	3	30	6	5057	None	True
FYPO:0004086	3.7243963601817244e-06	abnormal meiotic centromere clustering	238	0.0034934837858504575	None	None	None	3	30	6	5057	True	True
FYPO:0003349	3.7243963601817244e-06	normal protein localization to mitotic spindle midzone during anaphase B	239	0.0034934837858504575	None	None	None	3	30	6	5057	None	True
FYPO:0003307	3.7243963601817244e-06	increased mitotic index	240	0.0034934837858504575	None	None	None	3	30	6	5057	None	None
FYPO:0000353	3.781881084744442e-06	abnormal endomembrane system morphology	241	0.0035474044574902866	None	None	None	5	30	42	5057	True	True
FYPO:0002404	4.261817595160003e-06	abnormal endomembrane system	242	0.003997584904260083	None	None	None	5	30	43	5057	True	True
FYPO:0000732	4.566860908198091e-06	short bipolar mitotic spindle	243	0.0042837155318898095	None	None	None	4	30	20	5057	True	True
FYPO:0000130	4.566860908198091e-06	short spindle	244	0.0042837155318898095	None	None	None	4	30	20	5057	True	True
FYPO:0002739	4.710943664348834e-06	abnormal meiotic cell cycle process	245	0.004418865157159206	None	None	None	17	30	961	5057	True	True
FYPO:0001490	5.128154751004799e-06	inviable elongated vegetative cell	246	0.0048102091564425015	None	None	None	12	30	459	5057	None	True
FYPO:0003165	5.140379704805171e-06	cut with abnormal chromosome segregation	247	0.00482167616310725	None	None	None	7	30	122	5057	None	True
FYPO:0000052	5.149950073098184e-06	abnormal meiotic cell cycle	248	0.004830653168566097	None	None	None	17	30	967	5057	True	True
FYPO:0004040	5.269825347291157e-06	mitotic cell cycle arrest phenotype	249	0.004943096175759105	None	None	None	9	30	235	5057	True	True
FYPO:0004213	5.618197726195005e-06	abnormal attachment of mitotic spindle microtubules to kinetochore	250	0.005269869467170915	None	None	None	4	30	21	5057	None	True
FYPO:0001204	5.730146291834302e-06	mistimed mitosis	251	0.005374877221740575	None	None	None	7	30	124	5057	True	True
FYPO:0001024	6.941071788478305e-06	cell cycle arrest phenotype	252	0.00651072533759265	None	None	None	9	30	243	5057	True	True
FYPO:0007809	9.852113033297384e-06	normal cytoplasmic microtubules	253	0.009241282025232946	None	None	None	4	30	24	5057	None	True
FYPO:0003192	1.0344942652566405e-05	abolished protein localization to nucleus during mitosis	254	0.009703556208107289	None	None	None	3	30	8	5057	None	True
FYPO:0003326	1.0344942652566405e-05	normal interphase microtubule nucleation	255	0.009703556208107289	None	None	None	3	30	8	5057	None	True
FYPO:0000670	1.1085748076406994e-05	abnormal mitotic sister chromatid separation	256	0.010398431695669761	None	None	None	5	30	52	5057	None	True
FYPO:0000678	1.1680435776989567e-05	unequal homologous chromosome segregation	257	0.010956248758816213	None	None	None	4	30	25	5057	None	True
FYPO:0000032	1.3239290907001175e-05	abnormal cytokinesis	258	0.012418454870767103	None	None	None	9	30	263	5057	True	True
FYPO:0000737	1.5455274401524815e-05	abnormal meiotic spindle assembly	259	0.014497047388630276	None	None	None	3	30	9	5057	True	True
FYPO:0003450	1.5474720289157825e-05	abolished protein localization to nucleus	260	0.01451528763123004	None	None	None	6	30	95	5057	True	True
FYPO:0003595	1.6071765992612315e-05	S-shaped cell	261	0.015075316501070352	None	None	None	4	30	27	5057	None	True
FYPO:0006518	1.8752091669047742e-05	loss of viability in G0	262	0.01758946198556678	None	None	None	12	30	520	5057	None	None
FYPO:0003560	2.1571802277557133e-05	abnormal spindle pole body organization	263	0.020234350536348592	None	None	None	4	30	29	5057	None	True
FYPO:0001733	2.199055800457753e-05	abnormal mitotic spindle pole body separation	264	0.020627143408293722	None	None	None	3	30	10	5057	None	True
FYPO:0006387	2.199055800457753e-05	abnormal mitotic spindle pole body organization	265	0.020627143408293722	None	None	None	3	30	10	5057	True	True
FYPO:0005709	2.199055800457753e-05	normal protein localization to mitotic spindle pole body during mitosis	266	0.020627143408293722	None	None	None	3	30	10	5057	None	True
FYPO:0002818	2.199055800457753e-05	microtubule bundles present in decreased numbers	267	0.020627143408293722	None	None	None	3	30	10	5057	None	True
FYPO:0000939	2.648174608201991e-05	abnormal protein localization to mitotic spindle pole body	268	0.024839877824934676	None	None	None	5	30	62	5057	None	True
FYPO:0007553	2.7494424150516794e-05	normal G1 to G0 transition	269	0.025789769853184753	None	None	None	11	30	449	5057	None	True
FYPO:0005702	2.864571807087501e-05	abnormal protein localization to microtubule organizing center	270	0.02686968355048076	None	None	None	5	30	63	5057	True	True
FYPO:0004754	3.0115960146685413e-05	abolished protein localization to mitotic spindle during mitosis	271	0.02824877061759092	None	None	None	3	30	11	5057	None	True
FYPO:0004316	3.0115960146685413e-05	abnormal post-anaphase array	272	0.02824877061759092	None	None	None	3	30	11	5057	None	True
FYPO:0000240	3.0115960146685413e-05	abnormal filament morphology	273	0.02824877061759092	None	None	None	3	30	11	5057	None	None
FYPO:0000674	3.062873039254823e-05	normal cell population growth at high temperature	274	0.02872974910821024	None	None	None	6	30	107	5057	None	None
FYPO:0001513	3.22590425462164e-05	normal mitotic sister chromatid segregation	275	0.030258981908350982	None	None	None	4	30	32	5057	None	True
FYPO:0006643	3.4026653116504004e-05	mitotic spindle collapse without elongation during metaphase	276	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0007071	3.4026653116504004e-05	increased rate of mitotic spindle elongation during anaphase A	277	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0006049	3.4026653116504004e-05	fluctuating mitotic spindle length	278	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0007128	3.4026653116504004e-05	abnormal mitotic chromosome movement towards spindle pole	279	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0006039	3.4026653116504004e-05	incomplete mitotic metaphase chromosome recapture	280	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0006041	3.4026653116504004e-05	decreased rate of mitotic metaphase chromosome recapture	281	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0007972	3.4026653116504004e-05	decreased rate of interpolar microtubule polymerization during mitotic anaphase B	282	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0007746	3.4026653116504004e-05	normal spindle elongation during meiotic metaphase I	283	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0006181	3.4026653116504004e-05	decreased protein localization to cytoplasm, with protein mislocalized to nucleus, during mitotic interphase	284	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0006100	3.4026653116504004e-05	decreased protein localization to cytoplasm, with protein mislocalized to nucleus	285	0.031917000623280754	None	None	None	2	30	2	5057	True	True
FYPO:0007756	3.4026653116504004e-05	abnormal homologous chromosome segregation with collapsed spindle	286	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0007072	3.4026653116504004e-05	decreased duration of mitotic anaphase B	287	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0004863	3.4026653116504004e-05	long curved microtubules	288	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0007150	3.4026653116504004e-05	decreased microtubule bundle formation	289	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0007110	3.4026653116504004e-05	microtubule bundles present in decreased numbers at spindle pole body during meiosis I	290	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0006725	3.4026653116504004e-05	normal microtubule binding	291	0.031917000623280754	None	None	None	2	30	2	5057	None	True
FYPO:0006759	3.597203819617083e-05	abnormal meiotic chromosome organization	292	0.033741771828008235	None	None	None	5	30	66	5057	True	True
FYPO:0001357	3.753456393347668e-05	normal vegetative cell population growth	293	0.035207420969601125	None	None	None	17	30	1114	5057	True	None
FYPO:0000060	3.774718809680805e-05	mononucleate vegetative cell	294	0.03540686243480595	None	None	None	6	30	111	5057	None	None
FYPO:0005779	3.999386843164589e-05	normal protein localization to kinetochore during mitosis	295	0.037514248588883845	None	None	None	3	30	12	5057	None	True
FYPO:0000047	4.0907290742865594e-05	normal cell population growth	296	0.03837103871680793	None	None	None	17	30	1121	5057	True	None
FYPO:0002731	4.1774903705032536e-05	mononucleate	297	0.03918485967532052	None	None	None	6	30	113	5057	True	None
FYPO:0000062	4.391454221018152e-05	abnormal nuclear morphology during vegetative growth	298	0.041191840593150265	None	None	None	6	30	114	5057	True	True
FYPO:0001390	4.6393689926492836e-05	misoriented septum during vegetative growth	299	0.04351728115105028	None	None	None	4	30	35	5057	None	True
FYPO:0002956	4.712800429506933e-05	abnormal protein localization to nucleus	300	0.04420606802877503	None	None	None	7	30	171	5057	True	True
FYPO:0000228	5.133164317046698e-05	lagging mitotic chromosomes	301	0.04814908129389803	None	None	None	5	30	71	5057	None	True
FYPO:0003738	5.1783920468989104e-05	abnormal mitotic cell cycle arrest with condensed chromosomes	302	0.04857331739991178	None	None	None	3	30	13	5057	None	True
